ID,Count
18288,355.6929741756833
18289,283.8616022938866
18290,240.23434703797665
18291,198.49705836009005
18292,167.0755738806452
18293,149.5601980020408
18294,160.81782501026697
18295,186.50620017109244
18296,214.7735263815286
18297,277.5343228805043
18298,393.9284518695401
18299,436.72134060939976
18300,441.3482821984069
18301,390.3381474671413
18302,417.3665658204118
18303,412.0948864690022
18304,401.57681160000277
18305,410.9318301132954
18306,421.0453636411794
18307,446.7716645527346
18308,429.33214017558896
18309,400.7361241254968
18310,402.1899445701302
18311,392.6832230539195
18312,358.3589322550237
18313,285.98917631697134
18314,242.03492997022386
18315,199.98481570949173
18316,168.32782373764564
18317,150.68116818464094
18318,162.02317234916697
18319,187.90408471560872
18320,216.38327765427223
18321,279.61447324639863
18322,396.88098907210224
18323,439.9946152337193
18324,444.6562362603522
18325,393.2637749421469
18326,420.4947742725864
18327,415.18358310289824
18328,404.5866741024654
18329,414.01180951150417
18330,424.2011450888434
18331,450.1202674637003
18332,432.5500319275253
18333,403.73968558259855
18334,405.2044025718411
18335,395.62642712914254
18336,361.0248903343641
18337,288.116750340056
18338,243.835512902471
18339,201.4725730588933
18340,169.58007359464602
18341,151.80213836724107
18342,163.22851968806694
18343,189.30196926012496
18344,217.99302892701587
18345,281.69462361229284
18346,399.83352627466434
18347,443.26788985803887
18348,447.96419032229755
18349,396.18940241715234
18350,423.622982724761
18351,418.2722797367943
18352,407.596536604928
18353,417.0917889097128
18354,427.35692653650733
18355,453.46887037466604
18356,435.76792367946166
18357,406.74324703970024
18358,408.218860573552
18359,398.56963120436546
18360,363.6908484137046
18361,290.24432436314066
18362,245.63609583471822
18363,202.96033040829496
18364,170.83232345164643
18365,152.9231085498412
18366,164.43386702696696
18367,190.69985380464126
18368,219.6027801997595
18369,283.7747739781871
18370,402.78606347722655
18371,446.5411644823585
18372,451.27214438424295
18373,399.11502989215796
18374,426.75119117693566
18375,421.3609763706904
18376,410.60639910739076
18377,420.17176830792164
18378,430.51270798417124
18379,456.81747328563176
18380,438.985815431398
18381,409.7468084968019
18382,411.23331857526284
18383,401.51283527958844
18384,366.3568064930451
18385,292.3718983862254
18386,247.43667876696543
18387,204.44808775769656
18388,172.08457330864684
18389,154.04407873244133
18390,165.63921436586696
18391,192.09773834915754
18392,221.2125314725032
18393,285.8549243440814
18394,405.73860067978876
18395,449.81443910667815
18396,454.58009844618823
18397,402.0406573671635
18398,429.87939962911037
18399,424.4496730045866
18400,413.61626160985344
18401,423.25174770613035
18402,433.66848943183527
18403,460.1660761965975
18404,442.20370718333436
18405,412.75036995390366
18406,414.2477765769738
18407,404.4560393548115
18408,369.02276457238554
18409,294.49947240931004
18410,249.23726169921258
18411,205.9358451070982
18412,173.33682316564725
18413,155.16504891504147
18414,166.84456170476693
18415,193.49562289367378
18416,222.82228274524678
18417,287.9350747099756
18418,408.69113788235086
18419,453.08771373099773
18420,457.88805250813357
18421,404.966284842169
18422,433.00760808128496
18423,427.53836963848266
18424,416.62612411231606
18425,426.33172710433917
18426,436.82427087949924
18427,463.5146791075632
18428,445.4215989352707
18429,415.7539314110053
18430,417.2622345786846
18431,407.3992434300344
18432,371.68872265172604
18433,296.62704643239476
18434,251.0378446314598
18435,207.42360245649985
18436,174.58907302264765
18437,156.2860190976416
18438,168.04990904366693
18439,194.8935074381901
18440,224.43203401799047
18441,290.01522507586986
18442,411.643675084913
18443,456.36098835531726
18444,461.19600657007896
18445,407.89191231717456
18446,436.13581653345966
18447,430.6270662723788
18448,419.63598661477874
18449,429.4117065025479
18450,439.98005232716326
18451,466.86328201852893
18452,448.63949068720706
18453,418.75749286810697
18454,420.27669258039555
18455,410.3424475052574
18456,374.3546807310665
18457,298.7546204554794
18458,252.838427563707
18459,208.91135980590147
18460,175.8413228796481
18461,157.40698928024173
18462,169.25525638256693
18463,196.29139198270636
18464,226.04178529073408
18465,292.09537544176413
18466,414.5962122874751
18467,459.6342629796369
18468,464.50396063202436
18469,410.8175397921801
18470,439.2640249856343
18471,433.7157629062749
18472,422.64584911724137
18473,432.4916859007567
18474,443.1358337748273
18475,470.21188492949466
18476,451.8573824391435
18477,421.7610543252087
18478,423.29115058210647
18479,413.2856515804804
18480,377.020638810407
18481,300.88219447856414
18482,254.63901049595418
18483,210.39911715530314
18484,177.0935727366485
18485,158.52795946284186
18486,170.4606037214669
18487,197.68927652722266
18488,227.65153656347778
18489,294.1755258076584
18490,417.54874949003727
18491,462.90753760395654
18492,467.81191469396975
18493,413.7431672671857
18494,442.39223343780895
18495,436.804459540171
18496,425.6557116197041
18497,435.5716652989654
18498,446.29161522249126
18499,473.56048784046044
18500,455.07527419107987
18501,424.76461578231044
18502,426.3056085838173
18503,416.22885565570346
18504,379.6865968897475
18505,303.00976850164886
18506,256.43959342820136
18507,211.88687450470474
18508,178.34582259364893
18509,159.64892964544202
18510,171.6659510603669
18511,199.08716107173893
18512,229.2612878362214
18513,296.25567617355273
18514,420.5012866925995
18515,466.18081222827607
18516,471.11986875591515
18517,416.66879474219127
18518,445.52044188998366
18519,439.89315617406714
18520,428.66557412216684
18521,438.6516446971742
18522,449.4473966701553
18523,476.9090907514262
18524,458.2931659430163
18525,427.76817723941224
18526,429.32006658552825
18527,419.1720597309263
18528,382.3525549690879
18529,305.1373425247335
18530,258.2401763604486
18531,213.37463185410638
18532,179.5980724506493
18533,160.76989982804213
18534,172.8712983992669
18535,200.48504561625518
18536,230.87103910896505
18537,298.33582653944694
18538,423.4538238951616
18539,469.45408685259565
18540,474.4278228178605
18541,419.5944222171968
18542,448.64865034215825
18543,442.98185280796326
18544,431.67543662462947
18545,441.7316240953829
18546,452.6031781178192
18547,480.25769366239194
18548,461.51105769495257
18549,430.7717386965138
18550,432.33452458723906
18551,422.1152638061493
18552,385.0185130484284
18553,307.2649165478182
18554,260.0407592926957
18555,214.86238920350803
18556,180.85032230764975
18557,161.8908700106423
18558,174.0766457381669
18559,201.88293016077148
18560,232.4807903817087
18561,300.4159769053412
18562,426.4063610977238
18563,472.7273614769153
18564,477.7357768798058
18565,422.5200496922023
18566,451.77685879433295
18567,446.0705494418594
18568,434.68529912709215
18569,444.81160349359175
18570,455.7589595654832
18571,483.6062965733576
18572,464.7289494468889
18573,433.77530015361555
18574,435.34898258895
18575,425.0584678813723
18576,387.6844711277689
18577,309.3924905709029
18578,261.84134222494293
